id,study_name,age_L1PRE,age_L1POST,age_L2PRE,age_L2POST,dob,sex,L1PRE_cdi_version,L1PRE_cdi_age,L1PRE_cdi_und_words,L1PRE_cdi_und_per,L1PRE_cdi_vocab,L1PRE_cdi_vocabper,id_L1PRE_peek,L1PRE_peek_datatype,L1PRE_peek_order,L1PRE_acc_3001800,L1PRE_acc_3001800n,L1PRE_acc_3001800sd,L1PRE_goodacc_3001800,L1PRE_nogoodacc_reason,L1PRE_drt,L1PRE_drtn,L1PRE_drtsd,L1PRE_gooddrt,L1PRE_nogooddrt_reason,L1POST_cdi_version,L1POST_cdi_age,L1POST_cdi_und_words,L1POST_cdi_und_per,L1POST_cdi_vocab,L1POST_cdi_vocabper,L1POST_peek_datatype,L1POST_peek_order,L1POST_acc_3001800,L1POST_acc_3001800n,L1POST_acc_3001800sd,L1POST_goodacc_3001800,L1POST_nogoodacc_reason,L1POST_drt,L1POST_drtn,L1POST_drtsd,L1POST_gooddrt,L1POST_nogooddrt_reason,id_L2PRE_peek,L2PRE_SPAN_peek_datatype,L2PRE_SPAN_peek_order,L2PRE_SPAN_acc_3001800,L2PRE_SPAN_acc_3001800n,L2PRE_SPAN_acc_3001800sd,L2PRE_SPAN_goodacc_3001800,L2PRE_SPAN_nogoodacc_reason,L2PRE_SPAN_drt,L2PRE_SPAN_drtn,L2PRE_SPAN_drtsd,L2PRE_SPAN_gooddrt,L2PRE_SPAN_nogooddrt_reason,
7334,habla1,19.7, , , ,7/31/11,1,wg,19,225,50,88,78,7334,hand,HABLA18-1; HABLA18-2,0.486861053,35,0.391311202,0.486861053, ,872.25,12,390.2659059,872.25, ,ws,25,-9,-9,175,31, , , , , ,0.63, , , , ,837.56, ,7334, , , , , , , , , , , , ,
7352,habla1,20.3, , , ,5/14/11,0,wg,20,100,12,19,22,7352,hand,HABLA18-1; HABLA18-2,0.804654386,20,0.272114249,0.804654386, ,896.125,8,419.9494655,896.125, ,ws,26,-9,-9,103,17, , , , , ,0.59, , , , ,841.67, ,7352, , , , , , , , , , , , ,
7355,habla1,18.8, , , ,6/24/11,1,wg,18,247,61,81,77,7355,hand,HABLA18-1; HABLA18-2,0.577197247,37,0.405870156,0.577197247, ,1250,8,311.1627962,1250, ,ws,26,-9,-9,403,67, , , , , ,0.66, , , , ,702, ,7355, , , , , , , , , , , , ,
7363,habla1,19.2, , , ,6/14/11,1,wg,19,182,39,37,23,7363,hand,HABLA18-1; HABLA18-2,0.548806403,40,0.378111729,0.548806403, ,1073.4,10,157.7904377,1073.4, ,ws,27,-9,-9,205,23, , , , , ,0.7, , , , ,715.6, ,7363, , , , , , , , , , , , ,
7423,habla1,18.1, , , ,9/9/11,1,wg,18,113,16,105,80,7423,hand,HABLA18-1; HABLA18-2,0.736216723,35,0.284352658,0.736216723, ,966.6923077,13,293.7372365,966.6923077, ,ws,25,-9,-9,456,78, , , , , ,0.67, , , , ,772.9, ,7423, , , , , , , , , , , , ,
7433,habla1,18.2, , , ,9/6/11,0,wg,18,278,74,96,83,7433,hand,HABLA18-1; HABLA18-2,0.707992795,41,0.315603433,0.707992795, ,724.0555556,18,356.2006163,724.0555556, ,ws,27,-9,-9,535,87, , , , , ,0.7, , , , ,713.3, ,7433, , , , , , , , , , , , ,
7457,habla1,20.2, , , ,9/17/11,1,wg,20,231,52,40,24,7457,hand,HABLA18-1; HABLA18-2,0.688384643,23,0.306490011,0.688384643, ,900,8,228.3343413,900, ,ws,25,-9,-9,414,74, , , , , ,0.72, , , , ,577.71, ,7457, , , , , , , , , , , , ,
7473,habla1,19, , , ,8/12/11,0,wg,19,273,73,85,81,7473,hand,HABLA18-1; HABLA18-2,0.55742928,32,0.377488523,0.55742928, ,1037.235294,17,445.872113,1037.235294, ,ws,25,-9,-9,180,40, , , , , ,0.63, , , , ,573.6, ,7473, , , , , , , , , , , , ,
7587,habla1,20, , , ,1/4/12,1,wg,20,324,87,286,99,7587,hand,HABLA18-1; HABLA18-2,0.63245336,55,0.293207742,0.63245336, ,790.0740741,27,349.599763,790.0740741, ,ws,25,-9,-9,675,99, , , , , ,0.63, , , , ,697.17, ,7587, , , , , , , , , , , , ,
7660,habla1,17.7, , , ,2/13/12,1,wg,17,227,63,90,81,7660,hand,HABLA18-1; HABLA18-2,0.517031312,27,0.357892286,0.517031312, ,641.75,8,265.4348185,641.75, ,ws,26,-9,-9,394,66, , , , , ,0.76, , , , ,613.28, ,7660, , , , , , , , , , , , ,
7692,habla1,17.9, , , ,3/1/12,0,wg,18,294,77,32,40,7692,hand,HABLA18-1; HABLA18-2,0.639330331,45,0.404938036,0.639330331, ,827.75,12,287.3360798,827.75, ,ws,25,-9,-9,290,61, , , , , ,0.72, , , , ,741.4, ,7692, , , , , , , , , , , , ,
7735,habla1,20.1, , , ,4/10/12,0,wg,20,227,47,32,40,7735,hand,HABLA18-1; HABLA18-2,0.56363452,51,0.363529338,0.56363452, ,957.9130435,23,344.99709,957.9130435, ,ws,26,-9,-9,79,14, , , , , ,0.53, , , , ,962.94, ,7735, , , , , , , , , , , , ,
7739,habla1,18.4, , , ,5/1/12,1,wg,18,150,28,60,65,7739,hand,HABLA18-1; HABLA18-2,0.697731281,32,0.294011208,0.697731281, ,770.75,16,307.0746923,770.75, ,ws,25,-9,-9,364,67, , , , , ,0.77, , , , ,565.24, ,7739, , , , , , , , , , , , ,
7744,habla1,18.7, , , ,4/16/12,1,wg,18,235,53,109,81,7744,hand,HABLA18-1; HABLA18-2,0.601839018,48,0.356282795,0.601839018, ,962.5,16,372.5220351,962.5, ,ws,25,-9,-9,384,70, , , , , ,0.5, , , , ,815.29, ,7744, , , , , , , , , , , , ,
7746,habla1,18.6, , , ,5/22/12,1,wg,18,183,40,43,30,7746,hand,HABLA18-1; HABLA18-2,0.701885778,35,0.438034885,0.701885778, ,833,1,0,-9,only 1 trial,ws,25,-9,-9,331,62, , , , , ,0.68, , , , ,815.53, ,7746, , , , , , , , , , , , ,
7770,habla1,18.7, , , ,4/19/12,0,wg,19,182,29,162,91,7770,hand,HABLA18-1; HABLA18-2,0.663183043,64,0.386992963,0.663183043, ,943.2,20,235.7455363,943.2, ,ws,26,-9,-9,371,67, , , , , ,0.59, , , , ,874.18, ,7770, , , , , , , , , , , , ,
7780,habla1,18.3, , , ,5/4/12,0,wg,18,227,74,65,77,7780,hand,HABLA18-1; HABLA18-2,0.519007499,40,0.40354708,0.519007499, ,1035.846154,13,320.3653763,1035.846154, ,ws,26,-9,-9,256,49, , , , , ,0.61, , , , ,837.61, ,7780, , , , , , , , , , , , ,
7782,habla1,18.2, , , ,5/3/12,1,wg,18,422,99,87,78,7782,hand,HABLA18-1; HABLA18-2,0.564573708,47,0.426166501,0.564573708, ,1170,10,350.7981376,1170, ,ws,25,-9,-9,255,48, , , , , ,0.56, , , , ,984.47, ,7782, , , , , , , , , , , , ,
7789,habla1,19.6, , , ,4/21/12,1,wg,19,101,10,84,77,7789,hand,HABLA18-1; HABLA18-2,0.578009521,34,0.299637974,0.578009521, ,923.1538462,13,379.2547179,923.1538462, ,ws,25,-9,-9,367,68, , , , , ,0.64, , , , ,880.5, ,7789, , , , , , , , , , , , ,
7795,habla1,18.6, , , ,4/18/12,0,wg,18,141,20,16,20,7795,hand,HABLA18-1; HABLA18-2,0.561301692,34,0.316156206,0.561301692, ,746.6,10,219.1443968,746.6, ,ws,25,-9,-9,59,12, , , , , ,0.69, , , , ,578.47, ,7795, , , , , , , , , , , , ,
7812,habla1,19.2, , , ,4/15/12,0,wg,19,116,14,27,32,7812,hand,HABLA18-1; HABLA18-2,0.597502496,53,0.314713838,0.597502496, ,922.2380952,21,322.4433136,922.2380952, ,ws,25,-9,-9,149,33, , , , , ,0.57, , , , ,670.75, ,7812, , , , , , , , , , , , ,
7817,habla1,18.1, , , ,5/8/12,1,wg,18,120,17,54,49,7817,hand,HABLA18-1; HABLA18-2,0.665657358,34,0.42667973,0.665657358, ,805.5,6,302.0879011,805.5, ,ws,26,-9,-9,372,62, , , , , ,-9, , , , ,-9, ,7817, , , , , , , , , , , , ,
7878,habla1,18, , , ,8/21/12,0,wg,18,96,11,0,5,7878,hand,HABLA18-1; HABLA18-2,0.576294228,40,0.319180812,0.576294228, ,962.5625,16,266.4302207,962.5625, ,ws,25,-9,-9,126,27, , , , , ,0.69, , , , ,711.03, ,7878, , , , , , , , , , , , ,
7881,habla1,19.3, , , ,6/8/12,0,wg,19,99,11,8,14,7881,hand,HABLA18-1; HABLA18-2,0.47968194,33,0.447772133,0.47968194, ,933.25,4,430.288566,933.25, ,ws,25,-9,-9,144,32, , , , , ,0.49, , , , ,1057.44, ,7881, , , , , , , , , , , , ,
7886,habla1,19.3, , , ,6/6/12,1,wg,19,428,99,280,99,7886,hand,HABLA18-1; HABLA18-2,0.814596994,26,0.178788519,0.814596994, ,704.7857143,14,197.2659971,704.7857143, ,ws,25,-9,-9,625,94, , , , , ,0.76, , , , ,647.17, ,7886, , , , , , , , , , , , ,
7908,habla1,19.1, , , ,6/14/12,1,wg,19,284,76,89,78,7908,hand,HABLA18-1; HABLA18-2,0.641035258,21,0.35803235,0.641035258, ,947.7142857,7,554.1088083,947.7142857, ,ws,25,-9,-9,333,62, , , , , ,0.67, , , , ,628.77, ,7908, , , , , , , , , , , , ,
7912,habla1,19.9, , , ,8/25/12,1,wg,20,202,44,125,82,7912,hand,HABLA18-1; HABLA18-2,0.678350999,52,0.287635043,0.678350999, ,726.0869565,23,325.909345,726.0869565, ,ws,25,-9,-9,338,63, , , , , ,0.8, , , , ,633.38, ,7912, , , , , , , , , , , , ,
7920,habla1,18.9, , , ,6/19/12,0,wg,19,212,37,24,28,7920,hand,HABLA18-1; HABLA18-2,0.631729413,46,0.33640896,0.631729413, ,749.0666667,15,309.7873618,749.0666667, ,ws,25,-9,-9,197,45, , , , , ,0.79, , , , ,615.92, ,7920, , , , , , , , , , , , ,
7938,habla1,19.1, , , ,7/13/12,1,wg,19,170,36,46,40,7938,hand,HABLA18-1; HABLA18-2,0.62976147,56,0.30174587,0.62976147, ,777.4193548,31,285.7139332,777.4193548, ,ws,25,-9,-9,165,28, , , , , ,0.74, , , , ,633.33, ,7938, , , , , , , , , , , , ,
7963,habla1,19.6, , , ,9/26/12,0,wg,19,208,35,107,85,7963,hand,HABLA18-1; HABLA18-2,0.548012912,45,0.456417343,0.548012912, ,1233.3,10,341.2903782,1233.3, ,ws,25,-9,-9,199,46, , , , , ,0.67, , , , ,720.79, ,7963, , , , , , , , , , , , ,
8007,habla1,19.7, , , ,9/25/12,1,wg,20,398,97,94,79,8007,hand,HABLA18-1; HABLA18-2,0.720615278,42,0.258752725,0.720615278, ,710.4736842,19,296.52363,710.4736842, ,ws,26,-9,-9,575,87, , , , , ,0.56, , , , ,672.53, ,8007, , , , , , , , , , , , ,
8022,habla1,19.4, , , ,9/22/12,1,wg,19,321,87,72,75,8022,hand,HABLA18-1; HABLA18-2,0.792766856,47,0.184063262,0.792766856, ,521.5294118,17,145.208091,521.5294118, ,ws,25,-9,-9,404,72, , , , , ,0.59, , , , ,609.82, ,8022, , , , , , , , , , , , ,
8048,habla1,19.2, , , ,11/29/12,1,wg,19,193,42,61,68,8048,hand,HABLA18-1; HABLA18-2,0.745714848,46,0.277798895,0.745714848, ,790.6111111,18,205.8512138,790.6111111, ,ws,26,-9,-9,357,59, , , , , ,0.73, , , , ,542.86, ,8048, , , , , , , , , , , , ,
8050,habla1,19.5, , , ,11/15/12,0,wg,20,383,93,0,5,8050,hand,HABLA18-1; HABLA18-2,0.665358045,63,0.293535746,0.665358045, ,883.8709677,31,275.2510057,883.8709677, ,ws,26,-9,-9,187,35, , , , , ,0.76, , , , ,673.04, ,8050, , , , , , , , , , , , ,
8058,habla1,19.2, , , ,11/4/12,0,wg,19,54,1,15,19,8058,hand,HABLA18-1; HABLA18-2,0.537705792,45,0.451941071,0.537705792, ,1123.857143,7,424.5901665,1123.857143, ,ws,25,-9,-9,189,43, , , , , ,0.6, , , , ,993.27, ,8058, , , , , , , , , , , , ,
8077,habla1,19, , , ,10/27/12,1,wg,19,107,13,27,19,8077,hand,HABLA18-1; HABLA18-2,0.613314554,34,0.301787662,0.613314554, ,910,10,397.3431207,910, ,ws,25,-9,-9,106,17, , , , , ,0.64, , , , ,860.76, ,8077, , , , , , , , , , , , ,
8083,habla1,18, , , ,11/14/12,1,wg,18,188,41,168,87,8083,hand,HABLA18-1; HABLA18-2,0.604551666,55,0.340821322,0.604551666, ,700.0526316,19,290.1894924,700.0526316, ,ws,25,-9,-9,482,80, , , , , ,0.73, , , , ,592.36, ,8083, , , , , , , , , , , , ,
8085,habla1,19.6, , , ,11/18/12,0,wg,19.6,272,73,64,76,8085,hand,HABLA18-1; HABLA18-2,0.495118336,43,0.395926018,0.495118336, ,1075.636364,11,458.6482907,1075.636364, ,ws,26,-9,-9,274,51, , , , , ,0.86, , , , ,654.1, ,8085, , , , , , , , , , , , ,
8088,habla1,19.2, , , ,11/20/12,0,wg,19,301,79,173,92,8088,hand,HABLA18-1; HABLA18-2,0.655569106,49,0.333234818,0.655569106, ,784.2941176,17,295.0666799,784.2941176, ,ws,26,-9,-9,473,83, , , , , ,0.72, , , , ,748.19, ,8088, , , , , , , , , , , , ,
8089,habla1,19.2, , , ,10/12/12,0,wg,19,175,27,19,22,8089,hand,HABLA18-1; HABLA18-2,0.686273741,45,0.32329087,0.686273741, ,812.0909091,11,235.8844864,812.0909091, ,ws,25,-9,-9,108,22, , , , , ,0.58, , , , ,457.14, ,8089, , , , , , , , , , , , ,
8098,habla1,18, , , ,11/20/12,0,wg,19,25,1,2,11,8098,hand,HABLA18-1; HABLA18-2,0.573149137,30,0.412937511,0.573149137, ,1186.6,5,413.9955314,1186.6, ,ws,24,-9,-9,34,9, , , , , ,0.61, , , , ,864.47, ,8098, , , , , , , , , , , , ,
8112,habla1,19.2, , , ,11/7/12,0,wg,19,158,24,11,15,8112,hand,HABLA18-1; HABLA18-2,0.486783783,48,0.392894735,0.486783783, ,987.1538462,13,496.7775904,987.1538462, ,ws,25,-9,-9,80,17, , , , , ,0.55, , , , ,956.31, ,8112, , , , , , , , , , , , ,
8115,habla1,19.4, , , ,10/4/12,1,wg,19,92,10,0,5,8115,hand,HABLA18-1; HABLA18-2,0.590303074,28,0.373782426,0.590303074, ,1016.8,10,453.6192236,1016.8, ,ws,25,-9,-9,105,17, , , , , ,0.65, , , , ,716.63, ,8115, , , , , , , , , , , , ,
8130,habla1,19.8, , , ,10/17/12,0,wg,20,300,78,5,12,8130,hand,HABLA18-1; HABLA18-2,0.732614008,45,0.284279027,0.732614008, ,787.4375,16,255.8165928,787.4375, ,ws,25,-9,-9,160,36, , , , , ,0.68, , , , ,677.08, ,8130, , , , , , , , , , , , ,
8144,habla1,19.9, , , ,1/12/13,1,wg,20,325,88,89,78,8144,hand,HABLA18-1; HABLA18-2,0.645280068,48,0.250291367,0.645280068, ,733.3333333,27,282.9817879,733.3333333, ,ws,26,-9,-9,475,76, , , , , ,0.68, , , , ,587.44, ,8144, , , , , , , , , , , , ,
8152,habla1,19, , , ,6/21/13,0,wg,19,424,99,25,29,8152,hand,HABLA18-1; HABLA18-2,0.716026383,56,0.313885102,0.716026383, ,955.6111111,18,243.1010777,955.6111111, ,ws,26,-9,-9,618,98, , , , , ,0.75, , , , ,676.92, ,8152, , , , , , , , , , , , ,
8161,habla1,17.7, , , ,8/6/13,0,wg,18,251,62,10,15,8161,hand,HABLA18-1; HABLA18-2,0.516494025,50,0.407410866,0.516494025, ,1114.722222,18,348.90582,1114.722222, ,ws,24,-9,-9,230,56, , , , , ,0.69, , , , ,834.95, ,8161, , , , , , , , , , , , ,
8165,habla1,19.3, , , ,6/14/13,0,wg,19,417,97,63,76,8165,hand,HABLA18-1; HABLA18-2,0.672868735,45,0.369112426,0.672868735, ,951.3846154,13,386.3251089,951.3846154, ,ws,26,-9,-9,331,60, , , , , ,0.73, , , , ,563.78, ,8165, , , , , , , , , , , , ,
8174,habla1,18.3, , , ,7/21/13,1,wg,18,215,48,49,46,8174,hand,HABLA18-1; HABLA18-2,0.773666219,44,0.268029311,0.773666219, ,677.0625,16,294.2945166,677.0625, ,ws,25,-9,-9,225,43, , , , , ,0.55, , , , ,633.23, ,8174, , , , , , , , , , , , ,
8178,habla1,18.2, , , ,7/18/13,0,wg,18,108,13,5,12,8178,hand,HABLA18-1; HABLA18-2,0.425783523,22,0.306718643,0.425783523, ,961.8571429,7,437.0852047,961.8571429, ,ws,25,-9,-9,47,10, , , , , ,0.57, , , , ,1111, ,8178, , , , , , , , , , , , ,
8195,habla1,18.7, , , ,7/17/13,0,wg,18,158,24,158,91,8195,hand,HABLA18-1; HABLA18-2,0.474245961,40,0.402779655,0.474245961, ,1303.090909,11,332.5968895,1303.090909, ,ws,25,-9,-9,385,76, , , , , ,0.64, , , , ,791.32, ,8195, , , , , , , , , , , , ,
8208,habla1,19, , , ,7/6/13,1,wg,18,311,86,159,86,8208,hand,HABLA18-1; HABLA18-2,0.644370729,45,0.368336721,0.644370729, ,764.8235294,17,391.6958698,764.8235294, ,ws,25,-9,-9,453,78, , , , , ,0.77, , , , ,730.73, ,8208, , , , , , , , , , , , ,
8217,habla1,19.8, , , ,3/5/13,1,wg,19,182,39,65,72,8217,hand,HABLA18-1; HABLA18-2,0.73391223,47,0.315813302,0.73391223, ,754.6,25,314.8122456,754.6, ,ws,25,-9,-9,555,88, , , , , ,0.78, , , , ,615.5, ,8217, , , , , , , , , , , , ,
8235,habla1,18.1, , , ,4/16/13,1,wg,18,114,16,6,13,8235,hand,HABLA18-1; HABLA18-2,0.433907781,34,0.337404941,0.433907781, ,959.4285714,14,285.2320821,959.4285714, ,ws,25,-9,-9,42,1, , , , , ,0.74, , , , ,553.95, ,8235, , , , , , , , , , , , ,
8240,habla1,18.6, , , ,4/5/13,1,wg,18,235,53,17,17,8240,hand,HABLA18-1; HABLA18-2,0.583434065,48,0.399952174,0.583434065, ,1160,10,354.7004996,1160, ,ws,25,-9,-9,353,66, , , , , ,0.75, , , , ,555.92, ,8240, , , , , , , , , , , , ,
8250,habla1,18.2, , , ,4/18/13,1,wg,18,50,1,4,11,8250,hand,HABLA18-1; HABLA18-2,0.479720299,19,0.452265189,0.479720299, ,667,1,0,-9,only 1 trial,ws,26,-9,-9,174,24, , , , , ,0.59, , , , ,1047.43, ,8250, , , , , , , , , , , , ,
8259,habla1,19.2, , , ,2/23/13,1,wg,19,372,93,321,99,8259,hand,HABLA18-1; HABLA18-2,0.660608291,61,0.300236612,0.660608291, ,838.6451613,31,274.1313005,838.6451613, ,ws,25,-9,-9,670,99, , , , , ,0.62, , , , ,590.52, ,8259, , , , , , , , , , , , ,
8261,habla1,18, , , ,4/23/13,1,wg,18,97,10,5,12,8261,hand,HABLA18-1; HABLA18-2,0.591239019,30,0.431434362,0.591239019, ,789,3,283.6600078,789, ,ws,25,-9,-9,83,13, , , , , ,0.59, , , , ,768.65, ,8261, , , , , , , , , , , , ,
8268,habla1,19.4, , , ,2/4/13,0,wg,19,234,49,56,73,8268,hand,HABLA18-1; HABLA18-2,0.616160962,39,0.29315813,0.616160962, ,918.5,18,374.6682062,918.5, ,ws,27,-9,-9,119,17, , , , , ,0.69, , , , ,502.67, ,8268, , , , , , , , , , , , ,
8276,habla1,18, , , ,7/29/13,0,wg,18,288,76,5,12,8276,hand,HABLA18-1; HABLA18-2,0.668341949,54,0.271531461,0.668341949, ,822.6,25,351.5922117,822.6, ,ws,-9,-9,-9,-9,-9, , , , , ,-9, , , , ,-9, ,8276, , , , , , , , , , , , ,
8283,habla1,18.5, , , ,4/4/13,1,wg,18,159,33,23,18,8283,hand,HABLA18-1; HABLA18-2,0.576343701,38,0.302914714,0.576343701, ,871.65,20,287.261164,871.65, ,ws,25,-9,-9,169,29, , , , , ,0.71, , , , ,635.18, ,8283, , , , , , , , , , , , ,
8293,habla1,19.7, , , ,6/15/13,0,wg,20,227,47,62,76,8293,hand,HABLA18-1; HABLA18-2,0.458833778,35,0.335447485,0.458833778, ,1108.866667,15,271.4013545,1108.866667, ,ws,26,-9,-9,254,48, , , , , ,0.48, , , , ,1007.07, ,8293, , , , , , , , , , , , ,
8299,habla1,19.5, , , ,3/19/13,1,wg,19,74,8,26,19,8299,hand,HABLA18-1; HABLA18-2,0.638264549,61,0.296300951,0.638264549, ,841.1904762,21,271.945145,841.1904762, ,ws,26,-9,-9,307,51, , , , , ,0.65, , , , ,892.56, ,8299, , , , , , , , , , , , ,
8308,habla1,18.5, , , ,7/30/13,1,wg,18,190,41,19,18,8308,hand,HABLA18-1; HABLA18-2,0.38826908,9,0.40292983,-9,low # trials: originally hand-coded,1093.2,5,542.850532,-9,no good acc,ws,24,-9,-9,128,25, , , , , ,0.63, , , , ,940.1, ,8308, , , , , , , , , , , , ,
8325,habla1,17.7, , , ,8/14/13,0,wg,17,151,29,3,13,8325,hand,HABLA18-1; HABLA18-2,0.414252328,25,0.485465458,0.414252328, ,-9,-9,-9,-9,not enough RT trials,ws,24,-9,-9,123,32, , , , , ,0.53, , , , ,1200, ,8325, , , , , , , , , , , , ,
12,habla,-9,-9, , ,6/22/14,1,missing,-9,-9,-9,-9,-9,12,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,12, , , , , , , , , , , , ,
13,habla,-9,-9, , ,9/7/14,1,missing,-9,-9,-9,-9,-9,13,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,13, , , , , , , , , , , , ,
24,habla,-9,-9, , ,9/3/14,1,missing,-9,-9,-9,-9,-9,24,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,24, , , , , , , , , , , , ,
3,habla,-9,-9, , ,10/24/14,0,missing,-9,-9,-9,-9,-9,3,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,3, , , , , , , , , , , , ,
11,habla,-9,-9, , ,9/22/14,1,missing,-9,-9,-9,-9,-9,11,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,11, , , , , , , , , , , , ,
43,habla,-9,-9, , ,8/26/14,0,missing,-9,-9,-9,-9,-9,43,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,not applicable,-9,-9,-9,-9,-9,none,none,-9,-9,-9,-9,no testing,-9,-9,-9,-9,no testing,43, , , , , , , , , , , , ,
