SUBJECT,AWC,hour
187.0,6794.0,16
187.0,4331.0,13
187.0,3684.0,15
187.0,3514.0,17
187.0,2561.0,12
187.0,2401.0,18
187.0,1694.0,14
187.0,1367.0,19
187.0,435.0,20
187.0,-1,0
187.0,-1,1
187.0,-1,2
187.0,-1,3
187.0,-1,4
187.0,-1,5
187.0,-1,6
187.0,-1,7
187.0,-1,8
187.0,-1,9
187.0,-1,10
187.0,-1,11
187.0,-1,21
187.0,-1,22
187.0,-1,23
188.0,2353.0,21
188.0,1921.0,11
188.0,1601.0,22
188.0,1221.0,12
188.0,1201.0,13
188.0,1196.0,20
188.0,1085.0,10
188.0,776.0,19
188.0,388.0,9
188.0,279.0,18
188.0,-1,0
188.0,-1,1
188.0,-1,2
188.0,-1,3
188.0,-1,4
188.0,-1,5
188.0,-1,6
188.0,-1,7
188.0,-1,8
188.0,-1,14
188.0,-1,15
188.0,-1,16
188.0,-1,17
188.0,-1,23
189.0,2294.0,16
189.0,1964.0,20
189.0,1652.0,10
189.0,1297.0,13
189.0,1144.0,9
189.0,890.0,19
189.0,812.0,12
189.0,781.0,21
189.0,716.0,14
189.0,614.0,11
189.0,245.0,15
189.0,219.0,17
189.0,114.0,8
189.0,97.0,22
189.0,0.0,23
189.0,-1,0
189.0,-1,1
189.0,-1,2
189.0,-1,3
189.0,-1,4
189.0,-1,5
189.0,-1,6
189.0,-1,7
189.0,-1,18
190.0,2371.0,19
190.0,2357.0,13
190.0,2298.0,11
190.0,1796.0,12
190.0,1577.0,14
190.0,1357.0,18
190.0,1238.0,20
190.0,988.0,15
190.0,103.0,10
190.0,0.0,16
190.0,-1,0
190.0,-1,1
190.0,-1,2
190.0,-1,3
190.0,-1,4
190.0,-1,5
190.0,-1,6
190.0,-1,7
190.0,-1,8
190.0,-1,9
190.0,-1,17
190.0,-1,21
190.0,-1,22
190.0,-1,23
192.0,3464.0,12
192.0,2533.0,22
192.0,1880.0,18
192.0,1843.0,13
192.0,1786.0,15
192.0,1670.0,21
192.0,1422.0,17
192.0,1103.0,20
192.0,1021.0,14
192.0,890.0,11
192.0,879.0,16
192.0,869.0,19
192.0,-1,0
192.0,-1,1
192.0,-1,2
192.0,-1,3
192.0,-1,4
192.0,-1,5
192.0,-1,6
192.0,-1,7
192.0,-1,8
192.0,-1,9
192.0,-1,10
192.0,-1,23
193.0,1047.0,10
193.0,928.0,9
193.0,736.0,15
193.0,559.0,8
193.0,419.0,13
193.0,362.0,11
193.0,349.0,14
193.0,157.0,17
193.0,104.0,7
193.0,92.0,12
193.0,77.0,16
193.0,56.0,18
193.0,-1,0
193.0,-1,1
193.0,-1,2
193.0,-1,3
193.0,-1,4
193.0,-1,5
193.0,-1,6
193.0,-1,19
193.0,-1,20
193.0,-1,21
193.0,-1,22
193.0,-1,23
196.0,3588.0,17
196.0,3475.0,16
196.0,2860.0,9
196.0,2467.0,10
196.0,2300.0,11
196.0,2038.0,15
196.0,1396.0,12
196.0,1125.0,13
196.0,939.0,14
196.0,122.0,8
196.0,-1,0
196.0,-1,1
196.0,-1,2
196.0,-1,3
196.0,-1,4
196.0,-1,5
196.0,-1,6
196.0,-1,7
196.0,-1,18
196.0,-1,19
196.0,-1,20
196.0,-1,21
196.0,-1,22
196.0,-1,23
197.0,1134.0,20
197.0,1040.0,19
197.0,867.0,9
197.0,839.0,13
197.0,830.0,15
197.0,772.0,18
197.0,662.0,14
197.0,644.0,11
197.0,628.0,12
197.0,559.0,10
197.0,405.0,8
197.0,296.0,16
197.0,39.0,17
197.0,-1,0
197.0,-1,1
197.0,-1,2
197.0,-1,3
197.0,-1,4
197.0,-1,5
197.0,-1,6
197.0,-1,7
197.0,-1,21
197.0,-1,22
197.0,-1,23
202.0,1445.0,14
202.0,1268.0,16
202.0,1150.0,15
202.0,836.0,18
202.0,829.0,10
202.0,409.0,17
202.0,372.0,9
202.0,346.0,7
202.0,291.0,12
202.0,159.0,8
202.0,84.0,13
202.0,13.0,19
202.0,-1,0
202.0,-1,1
202.0,-1,2
202.0,-1,3
202.0,-1,4
202.0,-1,5
202.0,-1,6
202.0,-1,11
202.0,-1,20
202.0,-1,21
202.0,-1,22
202.0,-1,23
203.0,1854.0,13
203.0,1749.0,14
203.0,1547.0,17
203.0,1541.0,10
203.0,1274.0,11
203.0,1025.0,15
203.0,1005.0,16
203.0,150.0,12
203.0,-1,0
203.0,-1,1
203.0,-1,2
203.0,-1,3
203.0,-1,4
203.0,-1,5
203.0,-1,6
203.0,-1,7
203.0,-1,8
203.0,-1,9
203.0,-1,18
203.0,-1,19
203.0,-1,20
203.0,-1,21
203.0,-1,22
203.0,-1,23
215.0,1338.0,19
215.0,415.0,11
215.0,363.0,18
215.0,352.0,10
215.0,111.0,13
215.0,81.0,15
215.0,72.0,14
215.0,43.0,9
215.0,-1,0
215.0,-1,1
215.0,-1,2
215.0,-1,3
215.0,-1,4
215.0,-1,5
215.0,-1,6
215.0,-1,7
215.0,-1,8
215.0,-1,12
215.0,-1,16
215.0,-1,17
215.0,-1,20
215.0,-1,21
215.0,-1,22
215.0,-1,23
230.0,1174.0,18
230.0,1157.0,9
230.0,1027.0,13
230.0,839.0,17
230.0,719.0,15
230.0,685.0,14
230.0,393.0,10
230.0,366.0,12
230.0,282.0,11
230.0,176.0,8
230.0,132.0,19
230.0,123.0,16
230.0,-1,0
230.0,-1,1
230.0,-1,2
230.0,-1,3
230.0,-1,4
230.0,-1,5
230.0,-1,6
230.0,-1,7
230.0,-1,20
230.0,-1,21
230.0,-1,22
230.0,-1,23
231.0,3470.0,19
231.0,3377.0,9
231.0,2252.0,15
231.0,1956.0,10
231.0,1431.0,14
231.0,1398.0,17
231.0,1082.0,12
231.0,811.0,20
231.0,769.0,18
231.0,635.0,11
231.0,476.0,13
231.0,448.0,16
231.0,338.0,8
231.0,-1,0
231.0,-1,1
231.0,-1,2
231.0,-1,3
231.0,-1,4
231.0,-1,5
231.0,-1,6
231.0,-1,7
231.0,-1,21
231.0,-1,22
231.0,-1,23
232.0,1872.0,11
232.0,1373.0,10
232.0,1313.0,18
232.0,1084.0,20
232.0,986.0,8
232.0,612.0,19
232.0,569.0,17
232.0,512.0,16
232.0,508.0,12
232.0,342.0,15
232.0,307.0,13
232.0,228.0,21
232.0,77.0,7
232.0,-1,0
232.0,-1,1
232.0,-1,2
232.0,-1,3
232.0,-1,4
232.0,-1,5
232.0,-1,6
232.0,-1,9
232.0,-1,14
232.0,-1,22
232.0,-1,23
241.0,1848.0,18
241.0,685.0,13
241.0,499.0,12
241.0,483.0,14
241.0,326.0,17
241.0,97.0,15
241.0,-1,0
241.0,-1,1
241.0,-1,2
241.0,-1,3
241.0,-1,4
241.0,-1,5
241.0,-1,6
241.0,-1,7
241.0,-1,8
241.0,-1,9
241.0,-1,10
241.0,-1,11
241.0,-1,16
241.0,-1,19
241.0,-1,20
241.0,-1,21
241.0,-1,22
241.0,-1,23
248.0,1581.0,13
248.0,1193.0,11
248.0,1132.0,14
248.0,1092.0,12
248.0,798.0,10
248.0,176.0,15
248.0,0.0,17
248.0,-1,0
248.0,-1,1
248.0,-1,2
248.0,-1,3
248.0,-1,4
248.0,-1,5
248.0,-1,6
248.0,-1,7
248.0,-1,8
248.0,-1,9
248.0,-1,16
248.0,-1,18
248.0,-1,19
248.0,-1,20
248.0,-1,21
248.0,-1,22
248.0,-1,23
259.0,1694.0,23
259.0,1161.0,22
259.0,560.0,16
259.0,545.0,14
259.0,514.0,15
259.0,405.0,20
259.0,370.0,0
259.0,334.0,13
259.0,216.0,21
259.0,140.0,12
259.0,110.0,17
259.0,-1,1
259.0,-1,2
259.0,-1,3
259.0,-1,4
259.0,-1,5
259.0,-1,6
259.0,-1,7
259.0,-1,8
259.0,-1,9
259.0,-1,10
259.0,-1,11
259.0,-1,18
259.0,-1,19
260.0,668.0,9
260.0,643.0,8
260.0,501.0,15
260.0,414.0,16
260.0,361.0,20
260.0,346.0,7
260.0,339.0,17
260.0,276.0,13
260.0,276.0,19
260.0,83.0,18
260.0,74.0,10
260.0,9.0,12
260.0,-1,0
260.0,-1,1
260.0,-1,2
260.0,-1,3
260.0,-1,4
260.0,-1,5
260.0,-1,6
260.0,-1,11
260.0,-1,14
260.0,-1,21
260.0,-1,22
260.0,-1,23
261.0,1160.0,8
261.0,1071.0,9
261.0,862.0,13
261.0,716.0,14
261.0,480.0,12
261.0,261.0,10
261.0,260.0,15
261.0,184.0,11
261.0,156.0,7
261.0,22.0,17
261.0,-1,0
261.0,-1,1
261.0,-1,2
261.0,-1,3
261.0,-1,4
261.0,-1,5
261.0,-1,6
261.0,-1,16
261.0,-1,18
261.0,-1,19
261.0,-1,20
261.0,-1,21
261.0,-1,22
261.0,-1,23
266.0,1786.0,18
266.0,1725.0,19
266.0,1374.0,9
266.0,1357.0,10
266.0,1318.0,11
266.0,1223.0,20
266.0,1174.0,15
266.0,1075.0,17
266.0,902.0,13
266.0,795.0,7
266.0,748.0,16
266.0,713.0,14
266.0,210.0,8
266.0,141.0,6
266.0,-1,0
266.0,-1,1
266.0,-1,2
266.0,-1,3
266.0,-1,4
266.0,-1,5
266.0,-1,12
266.0,-1,21
266.0,-1,22
266.0,-1,23
271.0,3360.0,13
271.0,2849.0,12
271.0,2472.0,14
271.0,1154.0,9
271.0,169.0,10
271.0,-1,0
271.0,-1,1
271.0,-1,2
271.0,-1,3
271.0,-1,4
271.0,-1,5
271.0,-1,6
271.0,-1,7
271.0,-1,8
271.0,-1,11
271.0,-1,15
271.0,-1,16
271.0,-1,17
271.0,-1,18
271.0,-1,19
271.0,-1,20
271.0,-1,21
271.0,-1,22
271.0,-1,23
272.0,3665.0,23
272.0,2378.0,21
272.0,1626.0,11
272.0,1527.0,22
272.0,1046.0,14
272.0,952.0,13
272.0,653.0,15
272.0,418.0,18
272.0,410.0,12
272.0,375.0,17
272.0,256.0,16
272.0,13.0,20
272.0,6.0,19
272.0,-1,0
272.0,-1,1
272.0,-1,2
272.0,-1,3
272.0,-1,4
272.0,-1,5
272.0,-1,6
272.0,-1,7
272.0,-1,8
272.0,-1,9
272.0,-1,10
276.0,414.0,14
276.0,366.0,16
276.0,285.0,15
276.0,233.0,13
276.0,51.0,12
276.0,-1,0
276.0,-1,1
276.0,-1,2
276.0,-1,3
276.0,-1,4
276.0,-1,5
276.0,-1,6
276.0,-1,7
276.0,-1,8
276.0,-1,9
276.0,-1,10
276.0,-1,11
276.0,-1,17
276.0,-1,18
276.0,-1,19
276.0,-1,20
276.0,-1,21
276.0,-1,22
276.0,-1,23
277.0,1778.0,10
277.0,1361.0,13
277.0,1224.0,11
277.0,1183.0,12
277.0,843.0,14
277.0,480.0,15
277.0,347.0,16
277.0,117.0,17
277.0,-1,0
277.0,-1,1
277.0,-1,2
277.0,-1,3
277.0,-1,4
277.0,-1,5
277.0,-1,6
277.0,-1,7
277.0,-1,8
277.0,-1,9
277.0,-1,18
277.0,-1,19
277.0,-1,20
277.0,-1,21
277.0,-1,22
277.0,-1,23
279.0,3465.0,14
279.0,2960.0,13
279.0,2015.0,12
279.0,1124.0,17
279.0,1061.0,11
279.0,420.0,18
279.0,49.0,15
279.0,-1,0
279.0,-1,1
279.0,-1,2
279.0,-1,3
279.0,-1,4
279.0,-1,5
279.0,-1,6
279.0,-1,7
279.0,-1,8
279.0,-1,9
279.0,-1,10
279.0,-1,16
279.0,-1,19
279.0,-1,20
279.0,-1,21
279.0,-1,22
279.0,-1,23
282.0,1118.0,16
282.0,829.0,19
282.0,805.0,20
282.0,731.0,10
282.0,527.0,13
282.0,511.0,9
282.0,504.0,14
282.0,425.0,17
282.0,205.0,15
282.0,37.0,11
282.0,20.0,18
282.0,3.0,12
282.0,-1,0
282.0,-1,1
282.0,-1,2
282.0,-1,3
282.0,-1,4
282.0,-1,5
282.0,-1,6
282.0,-1,7
282.0,-1,8
282.0,-1,21
282.0,-1,22
282.0,-1,23
283.0,2584.0,14
283.0,2477.0,15
283.0,1980.0,16
283.0,1798.0,13
283.0,1316.0,9
283.0,1253.0,10
283.0,860.0,17
283.0,744.0,11
283.0,620.0,18
283.0,175.0,12
283.0,59.0,19
283.0,-1,0
283.0,-1,1
283.0,-1,2
283.0,-1,3
283.0,-1,4
283.0,-1,5
283.0,-1,6
283.0,-1,7
283.0,-1,8
283.0,-1,20
283.0,-1,21
283.0,-1,22
283.0,-1,23
300.0,1980.0,8
300.0,1793.0,17
300.0,1763.0,14
300.0,1511.0,16
300.0,1404.0,18
300.0,1142.0,13
300.0,861.0,15
300.0,703.0,12
300.0,607.0,9
300.0,394.0,19
300.0,389.0,11
300.0,376.0,10
300.0,356.0,7
300.0,-1,0
300.0,-1,1
300.0,-1,2
300.0,-1,3
300.0,-1,4
300.0,-1,5
300.0,-1,6
300.0,-1,20
300.0,-1,21
300.0,-1,22
300.0,-1,23
302.0,3329.0,16
302.0,2138.0,17
302.0,934.0,11
302.0,606.0,15
302.0,569.0,10
302.0,252.0,12
302.0,44.0,18
302.0,0.0,13
302.0,-1,0
302.0,-1,1
302.0,-1,2
302.0,-1,3
302.0,-1,4
302.0,-1,5
302.0,-1,6
302.0,-1,7
302.0,-1,8
302.0,-1,9
302.0,-1,14
302.0,-1,19
302.0,-1,20
302.0,-1,21
302.0,-1,22
302.0,-1,23
304.0,2831.0,10
304.0,2490.0,9
304.0,2312.0,11
304.0,1443.0,14
304.0,1027.0,15
304.0,952.0,13
304.0,825.0,12
304.0,501.0,8
304.0,345.0,16
304.0,23.0,17
304.0,-1,0
304.0,-1,1
304.0,-1,2
304.0,-1,3
304.0,-1,4
304.0,-1,5
304.0,-1,6
304.0,-1,7
304.0,-1,18
304.0,-1,19
304.0,-1,20
304.0,-1,21
304.0,-1,22
304.0,-1,23
307.0,2525.0,20
307.0,1526.0,19
307.0,1120.0,17
307.0,391.0,18
307.0,271.0,16
307.0,-1,0
307.0,-1,1
307.0,-1,2
307.0,-1,3
307.0,-1,4
307.0,-1,5
307.0,-1,6
307.0,-1,7
307.0,-1,8
307.0,-1,9
307.0,-1,10
307.0,-1,11
307.0,-1,12
307.0,-1,13
307.0,-1,14
307.0,-1,15
307.0,-1,21
307.0,-1,22
307.0,-1,23
308.0,3206.0,14
308.0,2585.0,12
308.0,1217.0,11
308.0,1113.0,16
308.0,1033.0,18
308.0,1032.0,13
308.0,827.0,15
308.0,271.0,17
308.0,202.0,19
308.0,187.0,10
308.0,-1,0
308.0,-1,1
308.0,-1,2
308.0,-1,3
308.0,-1,4
308.0,-1,5
308.0,-1,6
308.0,-1,7
308.0,-1,8
308.0,-1,9
308.0,-1,20
308.0,-1,21
308.0,-1,22
308.0,-1,23
309.0,1114.0,11
309.0,538.0,15
309.0,407.0,14
309.0,385.0,16
309.0,378.0,13
309.0,365.0,9
309.0,287.0,10
309.0,240.0,12
309.0,-1,0
309.0,-1,1
309.0,-1,2
309.0,-1,3
309.0,-1,4
309.0,-1,5
309.0,-1,6
309.0,-1,7
309.0,-1,8
309.0,-1,17
309.0,-1,18
309.0,-1,19
309.0,-1,20
309.0,-1,21
309.0,-1,22
309.0,-1,23
310.0,4311.0,10
310.0,3588.0,11
310.0,2100.0,12
310.0,1295.0,18
310.0,1244.0,9
310.0,1114.0,19
310.0,1082.0,16
310.0,1028.0,20
310.0,755.0,17
310.0,708.0,15
310.0,405.0,21
310.0,110.0,13
310.0,-1,0
310.0,-1,1
310.0,-1,2
310.0,-1,3
310.0,-1,4
310.0,-1,5
310.0,-1,6
310.0,-1,7
310.0,-1,8
310.0,-1,14
310.0,-1,22
310.0,-1,23
311.0,2835.0,12
311.0,1995.0,18
311.0,1966.0,17
311.0,1863.0,21
311.0,1827.0,13
311.0,1504.0,15
311.0,1359.0,22
311.0,1333.0,20
311.0,1169.0,14
311.0,883.0,19
311.0,533.0,11
311.0,-1,0
311.0,-1,1
311.0,-1,2
311.0,-1,3
311.0,-1,4
311.0,-1,5
311.0,-1,6
311.0,-1,7
311.0,-1,8
311.0,-1,9
311.0,-1,10
311.0,-1,16
311.0,-1,23
312.0,1155.0,22
312.0,1095.0,11
312.0,659.0,13
312.0,479.0,17
312.0,461.0,21
312.0,315.0,15
312.0,180.0,14
312.0,156.0,10
312.0,-1,0
312.0,-1,1
312.0,-1,2
312.0,-1,3
312.0,-1,4
312.0,-1,5
312.0,-1,6
312.0,-1,7
312.0,-1,8
312.0,-1,9
312.0,-1,12
312.0,-1,16
312.0,-1,18
312.0,-1,19
312.0,-1,20
312.0,-1,23
313.0,4695.0,16
313.0,4659.0,17
313.0,4462.0,13
313.0,3356.0,14
313.0,2565.0,15
313.0,1606.0,12
313.0,1243.0,10
313.0,716.0,11
313.0,35.0,9
313.0,-1,0
313.0,-1,1
313.0,-1,2
313.0,-1,3
313.0,-1,4
313.0,-1,5
313.0,-1,6
313.0,-1,7
313.0,-1,8
313.0,-1,18
313.0,-1,19
313.0,-1,20
313.0,-1,21
313.0,-1,22
313.0,-1,23
320.0,771.0,12
320.0,633.0,17
320.0,621.0,13
320.0,471.0,18
320.0,257.0,11
320.0,70.0,16
320.0,70.0,19
320.0,44.0,15
320.0,2.0,14
320.0,-1,0
320.0,-1,1
320.0,-1,2
320.0,-1,3
320.0,-1,4
320.0,-1,5
320.0,-1,6
320.0,-1,7
320.0,-1,8
320.0,-1,9
320.0,-1,10
320.0,-1,20
320.0,-1,21
320.0,-1,22
320.0,-1,23
330.0,1419.0,11
330.0,935.0,12
330.0,778.0,17
330.0,729.0,10
330.0,547.0,18
330.0,344.0,16
330.0,127.0,13
330.0,-1,0
330.0,-1,1
330.0,-1,2
330.0,-1,3
330.0,-1,4
330.0,-1,5
330.0,-1,6
330.0,-1,7
330.0,-1,8
330.0,-1,9
330.0,-1,14
330.0,-1,15
330.0,-1,19
330.0,-1,20
330.0,-1,21
330.0,-1,22
330.0,-1,23
332.0,1267.0,15
332.0,658.0,16
332.0,605.0,11
332.0,586.0,9
332.0,484.0,10
332.0,394.0,13
332.0,327.0,14
332.0,-1,0
332.0,-1,1
332.0,-1,2
332.0,-1,3
332.0,-1,4
332.0,-1,5
332.0,-1,6
332.0,-1,7
332.0,-1,8
332.0,-1,12
332.0,-1,17
332.0,-1,18
332.0,-1,19
332.0,-1,20
332.0,-1,21
332.0,-1,22
332.0,-1,23
334.0,4379.0,20
334.0,2138.0,21
334.0,1523.0,15
334.0,1430.0,18
334.0,1237.0,19
334.0,951.0,23
334.0,771.0,16
334.0,765.0,22
334.0,656.0,17
334.0,545.0,0
